,Año,Taxonómico,AL3,Zona,Peso vivo (kg),cód. CEIUAPA,Nombre_grupo CEIUAPA
0,1992,11004001XX,SKA,21,1473000.0,38,"Tiburones, rayas y quimeras"
1,1992,110XXXXXXX,SRX,37,397483.0,38,"Tiburones, rayas y quimeras"
2,1992,110XXXXXXX,SRX,99,1707917.0,38,"Tiburones, rayas y quimeras"
3,1992,1210501210,SAA,37,1643343.0,35,"Arenques, sardinas y anchoas"
4,1992,12105012XX,SIX,27,520000.0,35,"Arenques, sardinas y anchoas"
5,1992,12105012XX,SIX,99,757.0,35,"Arenques, sardinas y anchoas"
6,1992,1210506401,PIL,27,46932000.0,35,"Arenques, sardinas y anchoas"
7,1992,1210506401,PIL,37,51943111.0,35,"Arenques, sardinas y anchoas"
8,1992,1210506401,PIL,99,125680989.0,35,"Arenques, sardinas y anchoas"
9,1992,1210506601,SPR,27,10000.0,35,"Arenques, sardinas y anchoas"
10,1992,1210506601,SPR,37,680771.0,35,"Arenques, sardinas y anchoas"
11,1992,1210506601,SPR,99,23229.0,35,"Arenques, sardinas y anchoas"
12,1992,1210600201,ANE,27,13452000.0,35,"Arenques, sardinas y anchoas"
13,1992,1210600201,ANE,37,20213019.0,35,"Arenques, sardinas y anchoas"
14,1992,1210600201,ANE,99,1171281.0,35,"Arenques, sardinas y anchoas"
15,1992,121XXXXXXX020,CLU,27,15768000.0,35,"Arenques, sardinas y anchoas"
16,1992,121XXXXXXX020,CLU,37,443193.0,35,"Arenques, sardinas y anchoas"
17,1992,121XXXXXXX020,CLU,99,32207.0,35,"Arenques, sardinas y anchoas"
18,1992,1430200201,ELE,27,37000.0,22,Anguilas
19,1992,1430200201,ELE,37,58487.0,22,Anguilas
20,1992,1430200201,ELE,99,413.0,22,Anguilas
21,1992,1431300101,COE,27,3124000.0,33,Peces costeros diversos
22,1992,1431300101,COE,37,645663.0,33,Peces costeros diversos
23,1992,1431300101,COE,99,266437.0,33,Peces costeros diversos
24,1992,1470100101,GAR,27,179000.0,34,Peces demersales diversos
25,1992,1470100101,GAR,37,349371.0,34,Peces demersales diversos
26,1992,1470100101,GAR,99,143329.0,34,Peces demersales diversos
27,1992,1470200201,SAU,27,44000.0,34,Peces demersales diversos
28,1992,1470200201,SAU,99,700.0,34,Peces demersales diversos
29,1992,1480400202,COD,21,9965000.0,32,"Bacalaos, merluzas y eglefinos"
30,1992,1480400202,COD,27,6217000.0,32,"Bacalaos, merluzas y eglefinos"
31,1992,1480400501,LIN,27,3187000.0,32,"Bacalaos, merluzas y eglefinos"
32,1992,1480400501,LIN,99,1217.0,32,"Bacalaos, merluzas y eglefinos"
33,1992,14804005XX,LNZ,37,104883.0,32,"Bacalaos, merluzas y eglefinos"
34,1992,14804006XX,FOX,37,1277381.0,32,"Bacalaos, merluzas y eglefinos"
35,1992,14804006XX,FOX,99,580519.0,32,"Bacalaos, merluzas y eglefinos"
36,1992,1480401001,HAD,27,89000.0,32,"Bacalaos, merluzas y eglefinos"
37,1992,1480401001,HAD,99,300.0,32,"Bacalaos, merluzas y eglefinos"
38,1992,1480401501,POK,27,6000.0,32,"Bacalaos, merluzas y eglefinos"
39,1992,1480401502,POL,27,238750.0,32,"Bacalaos, merluzas y eglefinos"
40,1992,1480401502,POL,37,6912.0,32,"Bacalaos, merluzas y eglefinos"
41,1992,1480401502,POL,99,1093738.0,32,"Bacalaos, merluzas y eglefinos"
42,1992,1480403203,BIB,27,4207000.0,32,"Bacalaos, merluzas y eglefinos"
43,1992,1480403203,BIB,37,274960.0,32,"Bacalaos, merluzas y eglefinos"
44,1992,1480403203,BIB,99,41940.0,32,"Bacalaos, merluzas y eglefinos"
45,1992,1480403301,WHB,27,31965250.0,32,"Bacalaos, merluzas y eglefinos"
46,1992,1480403301,WHB,37,4322980.0,32,"Bacalaos, merluzas y eglefinos"
47,1992,1480403301,WHB,99,91570.0,32,"Bacalaos, merluzas y eglefinos"
48,1992,1480403401,WHG,27,2000.0,32,"Bacalaos, merluzas y eglefinos"
49,1992,1480500401,HKE,27,23757000.0,32,"Bacalaos, merluzas y eglefinos"
50,1992,1480500401,HKE,37,5985051.0,32,"Bacalaos, merluzas y eglefinos"
51,1992,14805004XX,HKX,27,17025400.0,32,"Bacalaos, merluzas y eglefinos"
52,1992,14805004XX,HKX,99,92485545.0,32,"Bacalaos, merluzas y eglefinos"
53,1992,1480600103,RHG,21,3250001.0,32,"Bacalaos, merluzas y eglefinos"
54,1992,1480600401,RNG,21,1720999.0,32,"Bacalaos, merluzas y eglefinos"
55,1992,148XXXXXXX,GAD,27,3343600.0,32,"Bacalaos, merluzas y eglefinos"
56,1992,148XXXXXXX,GAD,99,184400.0,32,"Bacalaos, merluzas y eglefinos"
57,1992,1580200105,KCP,99,264260.0,33,Peces costeros diversos
58,1992,16501XXXXX,MUL,27,56000.0,34,Peces demersales diversos
59,1992,16501XXXXX,MUL,37,278569.0,34,Peces demersales diversos
60,1992,16501XXXXX,MUL,99,109731.0,34,Peces demersales diversos
61,1992,169XXXXXXX002,DPX,27,2588000.0,33,Peces costeros diversos
62,1992,169XXXXXXX002,DPX,37,2358966.0,33,Peces costeros diversos
63,1992,169XXXXXXX002,DPX,99,2072834.0,33,Peces costeros diversos
64,1992,1700204201,GPD,27,180000.0,33,Peces costeros diversos
65,1992,1700204202,GPW,99,53361.0,33,Peces costeros diversos
66,1992,17002042XX,GPX,37,18539.0,33,Peces costeros diversos
67,1992,17002042XX,GPX,99,177500.0,33,Peces costeros diversos
68,1992,1700205801,WRF,27,10000.0,33,Peces costeros diversos
69,1992,1700205801,WRF,37,33016.0,33,Peces costeros diversos
70,1992,1700205801,WRF,99,96784.0,33,Peces costeros diversos
71,1992,1700634503,BSS,27,362000.0,33,Peces costeros diversos
72,1992,1700634503,BSS,37,126163.0,33,Peces costeros diversos
73,1992,1700634503,BSS,99,40437.0,33,Peces costeros diversos
74,1992,1702021301,BLU,27,386000.0,34,Peces demersales diversos
75,1992,1702021301,BLU,37,149956.0,34,Peces demersales diversos
76,1992,1702021301,BLU,99,30444.0,34,Peces demersales diversos
77,1992,17023004XX,JAX,27,28075000.0,34,Peces demersales diversos
78,1992,17023004XX,JAX,37,4534663.0,34,Peces demersales diversos
79,1992,17023004XX,JAX,99,1240537.0,34,Peces demersales diversos
80,1992,1702307202,LEE,27,593000.0,34,Peces demersales diversos
81,1992,1702307202,LEE,37,107746.0,34,Peces demersales diversos
82,1992,1702307202,LEE,99,1354.0,34,Peces demersales diversos
83,1992,17023XXXXX,CGX,37,632126.0,34,Peces demersales diversos
84,1992,17023XXXXX,CGX,99,12579074.0,34,Peces demersales diversos
85,1992,1702700301,POA,27,3819000.0,34,Peces demersales diversos
86,1992,1702700301,POA,37,12795.0,34,Peces demersales diversos
87,1992,1702700301,POA,99,1274405.0,34,Peces demersales diversos
88,1992,17036XXXXX,GRX,37,67478.0,33,Peces costeros diversos
89,1992,17036XXXXX,GRX,99,833822.0,33,Peces costeros diversos
90,1992,17037XXXXX,CDX,37,16705.0,33,Peces costeros diversos
91,1992,17037XXXXX,CDX,99,301995.0,33,Peces costeros diversos
92,1992,1703900801,SBR,27,733000.0,33,Peces costeros diversos
93,1992,1703900802,PAC,37,286822.0,33,Peces costeros diversos
94,1992,17039008XX,PAX,27,87000.0,33,Peces costeros diversos
95,1992,17039008XX,PAX,37,1315052.0,33,Peces costeros diversos
96,1992,17039008XX,PAX,99,1933026.0,33,Peces costeros diversos
97,1992,17039060XX,DEX,27,39750.0,33,Peces costeros diversos
98,1992,17039060XX,DEX,37,59847.0,33,Peces costeros diversos
99,1992,17039060XX,DEX,99,1131103.0,33,Peces costeros diversos
100,1992,17039191XX,SBP,37,161822.0,33,Peces costeros diversos
101,1992,17039191XX,SBP,99,709478.0,33,Peces costeros diversos
102,1992,1703923508,SBG,27,304000.0,33,Peces costeros diversos
103,1992,1703923508,SBG,37,216709.0,33,Peces costeros diversos
104,1992,1703923508,SBG,99,220891.0,33,Peces costeros diversos
105,1992,1703926101,BOG,27,464000.0,33,Peces costeros diversos
106,1992,1703926101,BOG,37,1806649.0,33,Peces costeros diversos
107,1992,17039XXXXX,SBX,27,1864000.0,33,Peces costeros diversos
108,1992,17041007XX,MUX,37,2087425.0,33,Peces costeros diversos
109,1992,17041007XX,MUX,99,848475.0,33,Peces costeros diversos
110,1992,1750100101,BON,27,39000.0,36,"Atunes, bonitos y agujas"
111,1992,1750100101,BON,37,228000.0,36,"Atunes, bonitos y agujas"
112,1992,1750100205,MAC,27,5146250.0,37,Peces pelágicos diversos
113,1992,17501002XX,MAZ,27,13242000.0,37,Peces pelágicos diversos
114,1992,17501002XX,MAZ,37,1788890.0,37,Peces pelágicos diversos
115,1992,17501002XX,MAZ,99,1807210.0,37,Peces pelágicos diversos
116,1992,17501023XX018,FRZ,27,157000.0,36,"Atunes, bonitos y agujas"
117,1992,17501023XX018,FRZ,37,1210000.0,36,"Atunes, bonitos y agujas"
118,1992,17501023XX018,FRZ,99,71000.0,36,"Atunes, bonitos y agujas"
119,1992,1750102501,SKJ,99,101506100.0,36,"Atunes, bonitos y agujas"
120,1992,1750102601,BFT,27,2365000.0,36,"Atunes, bonitos y agujas"
121,1992,1750102601,BFT,37,2165000.0,36,"Atunes, bonitos y agujas"
122,1992,1750102601,BFT,99,2200.0,36,"Atunes, bonitos y agujas"
123,1992,1750102605,ALB,27,18163000.0,36,"Atunes, bonitos y agujas"
124,1992,1750102605,ALB,37,227000.0,36,"Atunes, bonitos y agujas"
125,1992,1750102605,ALB,99,1699000.0,36,"Atunes, bonitos y agujas"
126,1992,1750102610,YFT,99,107787000.0,36,"Atunes, bonitos y agujas"
127,1992,1750102612,BET,99,23598000.0,36,"Atunes, bonitos y agujas"
128,1992,17501XXXXX043,TUN,99,18916900.0,36,"Atunes, bonitos y agujas"
129,1992,1750400301,SWO,27,6672000.0,36,"Atunes, bonitos y agujas"
130,1992,1750400301,SWO,37,822000.0,36,"Atunes, bonitos y agujas"
131,1992,1750400301,SWO,99,8156400.0,36,"Atunes, bonitos y agujas"
132,1992,17801001XX,RED,21,948000.0,33,Peces costeros diversos
133,1992,17801001XX,RED,27,16000.0,33,Peces costeros diversos
134,1992,17801XXXXX,SCO,27,777000.0,33,Peces costeros diversos
135,1992,17801XXXXX,SCO,37,157771.0,33,Peces costeros diversos
136,1992,17801XXXXX,SCO,99,54029.0,33,Peces costeros diversos
137,1992,1830200405,PLE,27,17000.0,31,"Platijas, halibuts, lenguados"
138,1992,1830200501,GHL,21,34520000.0,31,"Platijas, halibuts, lenguados"
139,1992,1830200501,GHL,27,23000.0,31,"Platijas, halibuts, lenguados"
140,1992,1830200501,GHL,99,12299120.0,31,"Platijas, halibuts, lenguados"
141,1992,1830201102,WIT,21,677000.0,31,"Platijas, halibuts, lenguados"
142,1992,1830201401,PLA,21,808000.0,31,"Platijas, halibuts, lenguados"
143,1992,1830202404,YEL,21,122000.0,31,"Platijas, halibuts, lenguados"
144,1992,18303007XX,SOO,27,190000.0,31,"Platijas, halibuts, lenguados"
145,1992,18303007XX,SOO,37,472840.0,31,"Platijas, halibuts, lenguados"
146,1992,18303007XX,SOO,99,1398660.0,31,"Platijas, halibuts, lenguados"
147,1992,1830301701,CET,37,118059.0,31,"Platijas, halibuts, lenguados"
148,1992,1830301701,CET,99,1557441.0,31,"Platijas, halibuts, lenguados"
149,1992,18305003XX,LEZ,27,5842000.0,31,"Platijas, halibuts, lenguados"
150,1992,18305003XX,LEZ,37,117305.0,31,"Platijas, halibuts, lenguados"
151,1992,18305003XX,LEZ,99,381395.0,31,"Platijas, halibuts, lenguados"
152,1992,1830509201,TUR,27,222000.0,31,"Platijas, halibuts, lenguados"
153,1992,1830509201,TUR,37,17120.0,31,"Platijas, halibuts, lenguados"
154,1992,1830509201,TUR,99,6880.0,31,"Platijas, halibuts, lenguados"
155,1992,183XXXXXXX,FLX,27,6651000.0,31,"Platijas, halibuts, lenguados"
156,1992,183XXXXXXX,FLX,37,587471.0,31,"Platijas, halibuts, lenguados"
157,1992,183XXXXXXX,FLX,99,14529.0,31,"Platijas, halibuts, lenguados"
158,1992,19501001XX,MNZ,27,3991000.0,33,Peces costeros diversos
159,1992,19501001XX,MNZ,37,1539068.0,33,Peces costeros diversos
160,1992,19501001XX,MNZ,99,7579632.0,33,Peces costeros diversos
161,1992,199XXXXXXX007,GRO,27,11169000.0,39,Peces marinos no identificados
162,1992,199XXXXXXX007,GRO,37,226187.0,39,Peces marinos no identificados
163,1992,199XXXXXXX007,GRO,99,14435005.0,39,Peces marinos no identificados
164,1992,199XXXXXXX008,PEL,27,14406000.0,39,Peces marinos no identificados
165,1992,199XXXXXXX008,PEL,99,11753730.0,39,Peces marinos no identificados
166,1992,199XXXXXXX009,FIN,21,2783000.0,39,Peces marinos no identificados
167,1992,199XXXXXXX009,FIN,27,11445000.0,39,Peces marinos no identificados
168,1992,199XXXXXXX009,FIN,37,10207409.0,39,Peces marinos no identificados
169,1992,199XXXXXXX009,FIN,99,6732891.0,39,Peces marinos no identificados
170,1992,199XXXXXXX055,CAR,27,8435000.0,38,"Tiburones, rayas y quimeras"
171,1992,199XXXXXXX055,CAR,99,59400.0,38,"Tiburones, rayas y quimeras"
172,1992,22801001XX,PEN,27,43000.0,45,"Gambas, camarones"
173,1992,22801001XX,PEN,37,2412672.0,45,"Gambas, camarones"
174,1992,22801001XX,PEN,99,21854936.0,45,"Gambas, camarones"
175,1992,2280202101,SSH,37,296010.0,45,"Gambas, camarones"
176,1992,2280202101,SSH,99,196290.0,45,"Gambas, camarones"
177,1992,2280203101,ARA,37,7003.0,45,"Gambas, camarones"
178,1992,2280203101,ARA,99,658327.0,45,"Gambas, camarones"
